action,step,count,avg,std
CASH_IN,599,16,140435.4513,91714.29953
CASH_IN,601,3,340210.7584,305006.9679
CASH_IN,608,25,161117.5104,118426.8308
CASH_IN,610,39,131113.6485,97031.33883
CASH_IN,612,84,156599.5615,110459.2431
CASH_IN,613,1,69842.4,0.0
CASH_IN,614,42,188652.1781,135582.1739
CASH_IN,617,72,227454.3907,165791.5503
CASH_IN,619,79,114228.8879,78846.97094
CASH_IN,621,30,78436.00897,49523.86368
CASH_IN,630,1,35284.95778,18640.87669
CASH_IN,637,119,180244.2609,125316.4555
CASH_IN,640,58,191650.624,135012.1046
CASH_IN,642,39,168682.9598,115908.9515
CASH_IN,644,68,123502.2159,88334.82988
CASH_IN,649,1,248620.8243,239674.5874
CASH_IN,656,48,147194.6598,97274.62141
CASH_IN,659,83,189317.0985,130204.1756
CASH_IN,661,165,211755.6582,145261.3773
CASH_IN,664,38,233009.2317,161376.2736
CASH_IN,667,51,147067.9988,102611.8476
CASH_IN,669,7,141870.4351,99236.67857
CASH_IN,670,32,96832.49888,66030.38691
CASH_IN,672,1,90167.58125,77167.02245
CASH_IN,673,1,87254.60063,79685.17337
CASH_IN,679,1,155864.1425,95883.72901
CASH_IN,681,174,175347.33,123267.9645
CASH_IN,684,161,190926.8016,135365.4799
CASH_IN,687,32,189456.566,130257.632
CASH_IN,688,253,198138.6516,140792.5416
CASH_IN,690,1,182565.03,137379.555
CASH_IN,691,109,141342.0643,98327.56925
CASH_IN,692,226,142656.4014,103087.3706
CASH_IN,694,48,120158.1018,83945.42011
CASH_IN,695,29,92602.34532,60355.28138
CASH_IN,699,1,101235.28,3922.44
CASH_IN,705,88,159265.8825,111319.8608
CASH_IN,707,10,186315.0731,119933.5138
CASH_IN,709,157,182294.7323,123429.2908
CASH_IN,710,131,184495.7822,128963.3607
CASH_IN,712,1,128670.4222,125875.8345
CASH_IN,714,45,179573.4879,128068.9751
CASH_IN,715,137,142115.3288,98946.65607
CASH_IN,716,8,131676.2642,77933.08481
CASH_IN,717,36,90745.15421,60600.0315
CASH_IN,718,29,101027.6341,69126.8913
CASH_OUT,1,972,154682.5591,133573.9327
CASH_OUT,2,207,162008.4813,140908.7108
CASH_OUT,3,3,156690.0141,111695.3633
CASH_OUT,6,392,168763.6165,134008.5424
CASH_OUT,7,2382,176661.1224,143383.0783
CASH_OUT,8,6672,184804.8805,148093.7737
CASH_OUT,9,10185,193664.5533,152294.8068
CASH_OUT,10,6755,195517.3028,155025.4029
CASH_OUT,11,6693,196076.6047,153577.1974
CASH_OUT,12,6289,191020.2752,149200.5608
CASH_OUT,13,7201,186348.6575,144511.9137
CASH_OUT,14,8088,183246.8135,141956.3481
CASH_OUT,15,9197,177194.5005,136140.2424
CASH_OUT,16,8289,173588.7356,135536.4743
CASH_OUT,17,8594,167972.693,131060.7792
CASH_OUT,18,11405,160856.6012,125992.3195
CASH_OUT,19,10201,165492.0036,128955.6743
CASH_OUT,20,8108,174864.4374,135801.2882
CASH_OUT,21,6192,177851.651,140065.0959
CASH_OUT,22,5026,179669.7229,138301.6125
CASH_OUT,23,2578,182234.8131,141107.8534
CASH_OUT,24,1301,182817.5617,141961.0575
CASH_OUT,25,710,179377.759,140436.8684
CASH_OUT,26,130,185733.7417,142982.5343
CASH_OUT,27,11,176338.1447,133499.639
CASH_OUT,34,909,189256.4194,143328.9523
CASH_OUT,35,4501,188309.594,141240.8163
CASH_OUT,36,9152,188097.0525,142468.1671
CASH_OUT,37,5648,185050.1273,141326.9649
CASH_OUT,38,5114,182646.3821,138240.7609
CASH_OUT,39,2725,182328.0883,139250.1522
CASH_OUT,40,8150,176126.6866,131941.1998
CASH_OUT,41,7344,169793.2635,127087.571
CASH_OUT,42,8931,161524.3849,121433.4432
CASH_OUT,43,9165,165358.2365,124993.4117
CASH_OUT,44,7586,178557.1489,135458.6522
CASH_OUT,45,5828,179089.2667,136460.7139
CASH_OUT,46,5084,182626.6566,138092.7505
CASH_OUT,47,3527,183337.9816,137958.0499
CASH_OUT,48,2494,183697.7128,138687.8686
CASH_OUT,49,309,185310.4048,140062.6067
CASH_OUT,93,1817,177912.3263,135550.9209
CASH_OUT,94,4122,179808.7743,136768.9498
CASH_OUT,95,3062,181251.4583,135830.5907
CASH_OUT,96,2676,181934.6777,136403.1268
CASH_OUT,97,189,184161.9939,139524.1442
CASH_OUT,119,2441,180050.2899,135896.3477
CASH_OUT,120,1360,179061.9816,135206.726
CASH_OUT,121,565,176520.0713,134308.6606
CASH_OUT,122,135,182781.1586,135772.5415
CASH_OUT,123,6,188000.6634,134664.1654
CASH_OUT,132,3,223562.4859,143078.5846
CASH_OUT,133,1863,185065.4086,140624.7998
CASH_OUT,134,3687,182440.1924,136232.2612
CASH_OUT,135,3226,179611.4274,134263.0058
CASH_OUT,136,5677,173549.2412,129477.9108
CASH_OUT,137,6179,166720.6461,123767.6236
CASH_OUT,138,5229,162299.2512,121570.0904
CASH_OUT,139,10857,166389.3757,124614.0587
CASH_OUT,140,7861,176884.2503,133828.5225
CASH_OUT,141,6038,179668.0024,136261.3035
CASH_OUT,142,4922,179853.1107,135010.4037
CASH_OUT,143,2971,178213.8802,132673.6324
CASH_OUT,144,1652,176320.4603,133261.3135
CASH_OUT,145,521,176719.8576,132947.3844
CASH_OUT,146,189,174291.6541,133708.4167
CASH_OUT,147,79,169315.2731,125684.7702
